ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
0,1,1,169,175,7,7,provisional,115.436256,2.7839697937603063,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,116.19718579376031,0.5393160641116717,3.7617446073259964,6,0.6269574345543327,0.4071489777862176,173
0,11,9,169,175,7,7,provisional,132.322769,1.808006037757707,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.34641203775772,0.2003105706453779,15.33892821980965,6,2.5564880366349416,0.3501233790730319,173
0,11,10,169,175,7,7,provisional,138.126999,0.9624775856263454,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.00768958562634,0.19765407998079487,7.504010498852208,6,1.2506684164753679,0.31599070572177623,173
0,11,11,169,175,7,7,provisional,138.293777,0.39654252920155386,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.37207347079845,0.21778802701670832,1.3503609427678704,6,0.22506015712797842,0.3129031621240929,173
0,11,12,169,175,7,7,provisional,140.865799,0.4608155101310558,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,140.58529648986894,0.20411903170502577,1.8681278754943385,6,0.3113546459157231,0.3318964678120471,173
0,11,13,169,175,7,7,provisional,138.999939,0.9501247584136934,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.72684275841368,0.20087701155707718,7.909831980014122,6,1.3183053300023537,0.3041581871311004,173
0,11,14,169,175,7,7,provisional,135.815613,1.5894375251841382,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.90172747481586,0.1919281570810216,11.786406969265112,6,1.9644011615441854,0.34444993082573405,173
0,11,15,169,175,7,7,provisional,137.636612,1.0595227519470143,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.355420751947,0.20924272975432007,15.239505700801955,6,2.539917616800326,0.3013034362491024,173
0,11,16,169,175,7,7,provisional,139.993469,0.8417650828966998,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.8426350828967,0.18574140507984435,5.218648153296726,6,0.869774692216121,0.31305814613834043,173
0,11,17,169,175,7,7,provisional,135.673386,0.7121545197657326,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.64957048023427,0.21185907254967135,3.581590176246525,6,0.5969316960410875,0.32975372450614754,173
0,11,18,169,175,7,7,provisional,135.588821,1.5111514446114995,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.5345124446115,0.2003677284882138,5.055787347289086,6,0.842631224548181,0.32533730559587354,173
0,11,19,169,175,7,7,provisional,134.72493,0.8211102470754952,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.7663837529245,0.2107563240242862,1.790365935830551,6,0.2983943226384252,0.3134876703405532,173
0,11,20,169,175,7,7,provisional,137.574158,0.7116596578520387,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.57498665785204,0.21515680115914187,1.8342760908606894,6,0.3057126818101149,0.34005505271214187,173
0,11,21,169,175,7,7,provisional,134.705978,1.024368543402204,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.8730004565978,0.22444921510371815,7.0295129402022845,6,1.1715854900337141,0.31504491258586176,173
0,11,22,169,175,7,7,provisional,137.119659,0.8825187546460427,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.98864375464603,0.20500950719303454,6.840632072337908,6,1.1401053453896515,0.31433869389354696,173
0,11,23,169,175,7,7,provisional,134.639343,1.4212435497774436,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.86475554977744,0.23144059187630836,4.339027654309621,6,0.7231712757182702,0.3225619819784881,173
0,11,24,169,175,7,7,provisional,138.831055,1.2763351792177389,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.01782382078227,0.2077744776612568,6.28684345014212,6,1.0478072416903534,0.33958491435076277,173
