day,ew,pp,tt,mpv,mpv_error,auto_flag,numeric_issue,source,source_stage,source_file,input_file,input_line
169,0,2,21,137.134964,0.418334,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26837
169,0,2,22,138.664917,0.375152,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26838
169,0,2,23,137.515091,0.417503,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26839
169,0,2,24,139.531937,0.411343,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26840
169,0,2,25,136.166275,0.41702,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26841
169,0,2,26,141.140961,0.425906,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26842
169,0,2,27,138.233109,0.432327,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26843
169,0,2,28,140.192169,0.459011,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26844
169,0,2,29,136.541687,0.517248,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26845
169,0,2,30,138.715195,0.441574,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26846
169,0,2,31,137.184616,0.510986,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26847
169,0,3,1,135.732529,0.964228,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26848
169,0,3,2,131.656372,0.885556,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26849
169,0,3,3,133.287537,0.75911,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26850
169,0,3,4,134.805878,0.455185,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26851
169,0,3,5,132.843506,0.435966,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26852
169,0,3,6,135.259384,0.409076,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26853
169,0,3,7,131.389542,0.4268,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26854
169,0,3,8,132.773865,0.40553,not_flagged,,cracz,published_daily_fit,NmipConstantsAll169to175.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26855
