period_start,period_end,ew,pp,tt,calibration_mpv,constant_error,offset,status,qa_flag,source_qa,segment_reason,calibration_source,source_artifact,notes
162,168,0,3,4,131.08935999242408,0.18874428296899995,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,5,130.9952030631282,0.1705052701522305,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,6,131.89766418019732,0.17067781274353994,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,7,128.6121870546531,0.16771822429451572,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,8,129.75762307872012,0.1684461934733599,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,9,130.8584608816069,0.1685581799110174,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,10,137.98512693330662,0.183404455453979,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,11,140.17015002895442,0.18594702373187266,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,12,138.5364359141435,0.18382754057637082,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,13,136.74136626176346,0.18587196945512216,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,14,137.890873125171,0.18102183622590143,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,15,137.7706426701303,0.18815570056287434,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,16,136.37448855725847,0.17668953146453373,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,17,137.5372062439236,0.17832825080412004,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,18,135.03108436498457,0.18113941549782767,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,19,135.37215651068766,0.18122180383600373,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,20,132.14600942813243,0.18093896662124181,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,21,134.5598464939839,0.17840846615196124,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,22,136.12757229185885,0.19021295070655497,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,23,135.86207027910302,0.1818013241284512,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,24,136.2247291089354,0.20643287854564382,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,25,136.39765355830085,0.20039752594057228,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,26,135.75185664306997,0.19890275103700264,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,27,137.29495533906896,0.20558596532503257,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,28,137.05725254086565,0.2254581368643815,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,29,134.2785024002299,0.20931338098820662,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,30,133.66721533402236,0.22493106283238928,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,31,134.02495859805185,0.20908695551794945,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,1,136.8783590641322,0.22342816623716721,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,2,129.42617448845266,0.20108008053927656,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,3,131.38218628142607,0.1922823048053897,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,4,130.33368666997063,0.19771737940459405,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,5,133.55416042840457,0.17081462836601485,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,6,131.1548412377974,0.18329551767495983,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,7,133.84587499001142,0.16485158551354204,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,8,132.99230393487397,0.1626003684440219,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,9,131.35361568086375,0.1536546795161624,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,10,139.1582350595003,0.18258805644378698,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,11,140.11994249829903,0.17327300457989972,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,12,140.1763803665014,0.19908329790337087,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,13,137.78015491873677,0.18759733158058872,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,14,140.6204183413508,0.20191981256122835,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,15,139.08587409315317,0.18531781668214192,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,16,136.23376602170165,0.17051607646918396,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,17,134.7827064439438,0.16471826871205467,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,18,136.85173895232077,0.17237665864112414,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,19,136.37147057962676,0.1708677226619781,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,20,135.39455089692763,0.17094602830224984,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,21,133.68280687978128,0.17547640721730634,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,22,135.2774492993667,0.17580806306474797,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,23,134.32234016095416,0.16589117139191775,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,24,137.80006222049465,0.1773448772896353,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,25,134.03373022588718,0.16804921952999727,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,26,136.3084586762484,0.17725979340007647,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,27,134.2379086483567,0.16581098062614982,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,28,136.2337112687562,0.19543923121587067,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,29,134.45239212211922,0.18300934889853127,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,30,135.51456732079484,0.19652515818367236,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,4,31,133.14586839293455,0.18339120115016944,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,5,1,130.12546779048463,0.25445468057328846,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,5,2,134.49156869694866,0.19907421369645006,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,5,3,131.21321321078213,0.21453685512446852,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
