day,ew,pp,tt,mpv,mpv_error,auto_flag,source,source_stage,source_file,in_primary_range
176,0,4,26,138.095978,0.557712,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,27,136.116302,0.483685,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,28,137.808716,0.603586,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,29,135.827469,0.549728,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,30,136.999084,0.632991,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,31,135.351456,0.583026,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,1,132.74205,0.838252,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,2,133.812698,0.594957,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,3,133.065353,0.740106,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,4,133.458344,0.585931,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,5,130.881149,0.585177,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,6,133.097107,0.575171,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,7,129.397522,0.561445,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,8,131.331451,0.511196,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,9,130.212463,0.520299,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,10,130.483658,0.452251,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,11,134.217972,0.574887,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,12,137.39856,0.478443,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,13,131.557861,0.555597,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,14,129.299377,0.42401,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,15,131.760422,0.585909,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,16,131.532837,0.521443,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,17,135.324585,0.586554,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,18,131.404297,0.476011,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,19,132.055832,0.539362,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,20,133.535706,0.529862,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,21,134.396988,0.560515,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,22,135.504501,0.529901,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,23,132.572342,0.590026,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,24,134.712616,0.547381,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,25,129.854462,0.629089,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,26,132.78038,0.554187,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,27,131.40834,0.61217,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,28,133.648529,0.581858,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,29,131.329147,0.613939,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,30,133.992584,0.575936,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,5,31,133.859177,0.693417,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,1,124.645508,1.617929,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,2,117.968796,2.103963,different_from_nominal,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,3,124.905602,1.358272,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,4,131.813812,0.710114,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,5,121.522942,1.5018,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,6,131.174789,0.674053,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,7,131.248795,0.63198,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,8,131.168808,0.489916,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,9,129.502319,0.550349,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,10,130.6651,0.511592,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,11,135.404709,0.51681,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,12,135.679398,0.610024,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,13,136.72731,0.599585,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,14,135.530029,0.594235,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,15,138.579773,0.567696,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,16,135.219513,0.555678,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,17,136.310745,0.573687,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,18,134.747574,0.555566,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,19,132.649063,0.573786,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,20,138.124756,0.567119,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,21,135.811539,0.606376,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,22,139.540955,0.55673,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,23,134.776398,0.530387,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,24,136.109482,0.59848,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,25,134.140564,0.642259,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,26,134.645035,0.594953,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,27,132.093018,0.715511,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,28,138.084076,0.653845,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,29,132.852173,0.664999,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,30,133.08075,0.650494,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,6,31,135.428711,0.637069,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,1,128.849777,0.897407,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,2,129.502869,0.861534,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,3,128.487076,0.862375,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,4,132.29538,0.642183,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,5,129.770355,0.614509,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,6,130.830139,0.603855,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
