day,ew,pp,tt,reference_mpv,reference_mpv_error,auto_flag,source,source_stage,source_file,period_start,period_end
169,0,3,31,137.540082,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,1,140.001972,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,2,132.748667,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,3,133.530536,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,4,133.463142,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,5,134.936915,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,6,133.385494,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,7,134.785286,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,8,134.109697,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,9,131.916684,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,10,139.757106,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,11,140.302454,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,12,141.394644,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,13,139.111606,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,14,142.477073,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,15,140.329276,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,16,139.589064,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,17,138.053201,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,18,139.489708,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,19,139.326268,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,20,138.256774,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,21,137.68978,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,22,139.228817,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,23,137.524931,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,24,141.434072,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,25,137.65183,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,26,139.462572,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,27,137.403813,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,28,139.759273,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,29,138.232248,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,30,138.991098,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,4,31,137.130243,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,1,132.971364,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,2,136.676719,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,3,134.730034,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,4,135.738891,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,5,131.872565,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,6,134.736216,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,7,131.376499,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,8,132.021475,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,9,131.133083,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,10,130.651575,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,11,136.477129,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,12,138.232068,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,13,135.269626,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,14,129.228014,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,15,135.660422,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,16,134.730072,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,17,137.484232,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,18,135.195606,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,19,133.652544,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,20,135.545106,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,21,136.172679,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,22,137.812874,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,23,135.802852,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,24,136.878548,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,25,133.302938,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,26,135.173123,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,27,135.010123,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,28,136.508863,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,29,133.002665,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,30,136.611358,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,5,31,136.442777,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,1,126.150987,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,2,121.500922,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,3,125.346912,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,4,132.205569,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,5,124.336914,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,6,131.434792,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,7,133.206366,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,8,132.704049,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,9,131.171206,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,10,132.836403,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,11,137.085653,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
