ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
0,6,28,176,182,7,7,provisional,136.802521,3.4957497220138976,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.8490667220139,0.22239379812120016,80.61275697962398,6,13.435459496603997,0.22905866680769607,182
0,6,29,176,182,7,7,provisional,132.384415,2.0495137957109364,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.69764579571094,0.22793644291742712,28.47627339789002,6,4.746045566315003,0.20440059106016273,182
0,6,30,176,182,7,7,provisional,131.262909,2.5579581207445017,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.5227918792555,0.23229782407506436,49.23476581740322,6,8.205794302900538,0.22981724528854372,182
0,6,31,176,182,7,7,provisional,134.309692,2.9178974381960074,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.200795438196,0.22261696096777428,62.64436518642043,6,10.440727531070072,0.2374764654762971,181
0,7,1,176,182,7,7,provisional,128.976471,2.2157132848767134,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.16314628487672,0.34069014982094986,13.782519778505753,6,2.2970866297509587,0.21637203835218194,181
0,7,2,176,182,7,7,provisional,129.467865,1.386189382191617,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.43503238219162,0.3244953444393518,3.857364099500326,6,0.6428940165833877,0.20257683497248402,181
0,7,3,176,182,7,7,provisional,128.704269,3.449772911820446,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,128.80433208817956,0.33057139241412614,10.121704096796549,6,1.6869506827994247,0.20851619201524096,181
0,7,4,176,182,7,7,provisional,131.486664,1.3237659902149517,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.42842599021495,0.23926018893333745,12.979143137121811,6,2.1631905228536352,0.20417646152490898,181
0,7,5,176,182,7,7,provisional,129.770355,1.8651448842220617,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.75597588422207,0.22424237035611952,16.423463833951867,6,2.7372439723253112,0.19559191882386817,181
0,7,6,176,182,7,7,provisional,130.830139,1.5838394152999058,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.84665641529992,0.2245561580985584,4.619344235612022,6,0.769890705935337,0.21243083273639105,182
0,7,7,176,182,7,7,provisional,130.405777,1.2427730985419885,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.11899790145802,0.2167839447590659,7.340295473356279,6,1.223382578892713,0.2055978453098062,181
0,7,8,176,182,7,7,provisional,133.302475,1.2118942122490637,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.22423821224908,0.19078605085224531,8.526229966902317,6,1.4210383278170529,0.21933971916638742,182
0,7,9,176,182,7,7,provisional,129.400406,0.7841060712259207,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.43333192877407,0.18849449823095765,6.0288128255551205,6,1.00480213759252,0.2003625549441761,181
