rank,priority_tier,ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
48,2,1,5,20,176,182,7,7,provisional,133.885101,2.4876508065445364,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.28222180654453,0.2555978201163151,42.19265955952604,6,7.032109926587673,0.21336225956668706,181
49,2,1,4,16,176,182,7,7,provisional,139.086594,2.4498218033753574,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.97006980337537,0.23810218101109956,42.048979611092875,6,7.008163268515479,0.22298797471169468,182
50,2,1,5,21,176,182,7,7,provisional,133.391052,2.7580140040458616,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.85221499595414,0.24214732106901396,42.030220388943654,6,7.005036731490609,0.22307609452690846,182
51,2,0,3,10,176,182,7,7,provisional,137.225449,3.4330066719208503,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.14780467192085,0.19427646403330584,41.973344188712545,6,6.995557364785424,0.20707178661225314,181
52,2,0,2,18,176,182,7,7,provisional,134.787704,2.1008756571638116,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.7886203428362,0.1897280577183888,41.14687257398916,6,6.857812095664859,0.22242221939926515,182
53,2,0,4,25,176,182,7,7,provisional,135.156342,2.061982155554773,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.04029915555478,0.18031858221238628,40.886770034451594,6,6.814461672408599,0.216861946740147,181
54,2,0,4,31,176,182,7,7,provisional,135.351456,2.564130484673484,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.7872444846735,0.2142197321379002,40.643001288988074,6,6.773833548164679,0.22295429664185687,181
55,2,1,6,21,176,182,7,7,provisional,136.48674,2.470643334230431,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.14315933423043,0.25122738386322796,40.18375718563214,6,6.697292864272023,0.20772725052831487,181
56,2,0,2,29,176,182,7,7,provisional,132.790115,2.4751883194562936,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.41059831945628,0.21509162202690774,39.42216807509726,6,6.570361345849544,0.2169312927726679,182
57,2,1,4,17,176,182,7,7,provisional,138.907654,1.9885995493285975,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.5313395493286,0.23092614695803257,39.149179539216114,6,6.524863256536019,0.2192487203826364,181
58,2,1,3,6,176,182,7,7,provisional,135.652267,2.6903588445534297,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.70598384455343,0.2286379655393777,39.10338580522098,6,6.51723096753683,0.21719531779926915,181
59,2,0,2,23,176,182,7,7,provisional,134.566879,1.8281797900915535,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.13985579009156,0.1950458544456896,38.58472841514697,6,6.430788069191162,0.2274279422668918,182
60,2,0,2,31,176,182,7,7,provisional,134.071152,2.519316107937101,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.2014141079371,0.22555031225277358,38.482594021814606,6,6.413765670302435,0.21771569832772836,182
61,2,0,1,21,176,182,7,7,provisional,132.028,2.212818483468226,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.46338348346822,0.20310757224412404,38.188375337169624,6,6.364729222861604,0.20985893215229795,181
62,2,0,5,19,176,182,7,7,provisional,132.550491,2.6425148218875165,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.15035782188752,0.18629685749484634,38.118030483690234,6,6.353005080615039,0.22435547094474817,182
63,2,1,6,17,176,182,7,7,provisional,130.68898,1.9830097917423473,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.28768120825765,0.22359583544208778,37.93991129734337,6,6.323318549557229,0.21709933861646039,182
64,2,0,5,29,176,182,7,7,provisional,130.3013,2.2799798037745376,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.94287480377454,0.21321419839603026,37.82199606867054,6,6.303666011445091,0.21447594669574266,181
65,2,1,1,26,176,182,7,7,provisional,136.51091,2.4646790550216053,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.2450900550216,0.251901819341247,37.765795980208495,6,6.294299330034749,0.2389332483990533,181
66,2,1,1,22,176,182,7,7,provisional,134.048294,2.2719064181703175,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.1625415818297,0.23103004646797068,37.75395824728793,6,6.292326374547989,0.21430713370267995,182
67,2,0,5,24,176,182,7,7,provisional,134.217758,2.0197196770690766,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.01747667706908,0.19273301996503775,37.52883881040524,6,6.254806468400873,0.2127356427988303,181
68,2,1,3,31,176,182,7,7,provisional,134.577286,2.433104136340347,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.33599713634035,0.26557125691510747,37.02534630552712,6,6.170891050921187,0.2293264204553274,182
69,2,0,4,30,176,182,7,7,provisional,136.302338,2.3467686768901217,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.12325767689012,0.21853343606836234,36.710006462187636,6,6.118334410364606,0.21293599545071148,181
70,2,0,2,16,176,182,7,7,provisional,135.373993,2.0680059337826435,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.86727693378265,0.1861022638391533,36.4835242076164,6,6.080587367936066,0.21723549887490143,181
71,2,0,4,26,176,182,7,7,provisional,137.395721,1.8560105277722414,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.88497152777225,0.19339062596773257,35.83342406472472,6,5.972237344120786,0.2167060047298249,181
72,2,1,2,22,176,182,7,7,provisional,134.574173,2.269207251562733,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.60885974843725,0.23829030693552095,35.60535076973569,6,5.934225128289282,0.22593637503053987,182
73,2,0,2,26,176,182,7,7,provisional,139.502289,2.1379510227430103,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.851162022743,0.19955685981191812,35.543648911630946,6,5.923941485271825,0.22086989354856976,182
74,2,0,2,21,176,182,7,7,provisional,134.099472,1.925515037307207,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.0734340373072,0.19313203722394595,35.09705316692819,6,5.849508861154699,0.2213740731797702,181
