rank,priority_tier,ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
18,2,0,11,26,162,168,7,7,provisional,135.501907,3.5648775198408487,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.86262251984084,0.2009099098116119,70.45054631889575,6,11.741757719815958,0.35501832348819334,168
19,2,0,3,31,162,168,7,7,provisional,133.967957,5.454991401948149,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.02495859805185,0.20908695551794945,70.01951107928733,6,11.669918513214554,0.3364835352194289,168
20,2,0,11,29,162,168,7,7,provisional,131.103973,2.483389903257148,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.55733390325716,0.2120939707813428,66.87191353610244,6,11.14531892268374,0.35264547306921756,168
21,2,0,8,26,162,168,7,7,provisional,133.139938,2.6812845163569534,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.68522151635696,0.18833533120659787,66.85458901307827,6,11.142431502179711,0.3691753372119286,168
22,2,0,6,31,162,168,7,7,provisional,132.612213,3.128313731045438,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.34305073104545,0.2055767960587541,66.17992890259485,6,11.029988150432475,0.35280925455854956,168
23,2,0,3,8,162,168,7,7,provisional,129.647308,2.8184980787201113,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.75762307872012,0.1684461934733599,66.0129810525109,6,11.002163508751815,0.39485028356456797,168
24,2,0,4,5,162,168,7,7,provisional,133.925781,2.88417742840457,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.55416042840457,0.17081462836601485,64.43900459918795,6,10.739834099864659,0.37383344156557713,168
25,2,1,6,23,162,168,7,7,provisional,132.185272,8.800495364111441,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.64112536411145,0.23288302751655984,64.34641726317366,6,10.72440287719561,0.3623681844977885,168
26,2,0,3,4,162,168,7,7,provisional,131.069443,3.8972369924240837,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.08935999242408,0.18874428296899995,61.50129461910847,6,10.250215769851412,0.35959706138406233,168
27,2,0,11,25,162,168,7,7,provisional,133.234436,2.8818429701348975,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.6007149701349,0.20608780039522115,61.46191087800276,6,10.24365181300046,0.36904140636390337,168
28,2,0,3,2,162,168,7,7,provisional,126.674675,7.546363379401868,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,127.28493437940186,0.25481474233012336,60.40797733142548,6,10.067996221904247,0.37191672221097655,168
29,2,0,11,22,162,168,7,7,provisional,132.787979,3.6129523722368617,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.05434337223687,0.19318985698904775,60.149803997304765,6,10.024967332884128,0.3719817935020374,168
30,2,0,6,26,162,168,7,7,provisional,132.204834,4.17204617631711,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.0625641763171,0.19301439027358674,59.80914717611452,6,9.968191196019086,0.3654429821919565,168
31,2,0,10,30,162,168,7,7,provisional,136.337936,3.2035433525341546,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.89803235253416,0.20556036717318296,59.453202862033486,6,9.908867143672248,0.3520852098031131,168
32,2,1,2,20,162,168,7,7,provisional,135.138275,5.863327650182811,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.69810434981719,0.2228250055526599,58.61878446058947,6,9.769797410098244,0.38384478748169404,168
33,2,0,11,27,162,168,7,7,provisional,132.596985,3.314392834122259,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.15475416587773,0.20693075457578367,58.554411417832334,6,9.759068569638723,0.3707517432676923,168
34,2,0,8,31,162,168,7,7,provisional,129.964798,3.7290875531965355,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.76689155319653,0.20364738859138928,58.548435863407384,6,9.758072643901231,0.3550627094433229,168
35,2,0,3,6,162,168,7,7,provisional,131.609192,2.2963151801973254,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.89766418019732,0.17067781274353994,58.29126512062176,6,9.71521085343696,0.38056601020822156,168
36,2,0,4,31,162,168,7,7,provisional,132.283554,2.9184973929345404,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.14586839293455,0.18339120115016944,58.04238021426143,6,9.673730035710237,0.3549399282092406,168
37,2,0,12,29,162,168,7,7,provisional,134.830002,2.170059591838424,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.41540440816158,0.19668888540227264,57.97985870693875,6,9.663309784489792,0.3540411833176186,168
38,2,0,3,29,162,168,7,7,provisional,134.158615,5.451508599770079,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.2785024002299,0.20931338098820662,57.04605148613137,6,9.507675247688562,0.3582697762274457,168
39,2,0,3,5,162,168,7,7,provisional,131.492447,3.253786063128203,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.9952030631282,0.1705052701522305,56.909963857737424,6,9.484993976289571,0.35421157019252364,168
