ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
0,1,1,162,168,7,7,provisional,114.12896,6.061662769042556,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,114.67153376904255,0.4635668022736186,17.000132142696046,6,2.8333553571160075,0.3677528324572812,168
0,2,19,162,168,7,7,provisional,134.300095,1.4773855034794963,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.9246534965205,0.18399613683819696,17.652996372628472,6,2.942166062104745,0.3823717720652266,168
0,2,20,162,168,7,7,provisional,136.84404,2.0827932082042935,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.11311220820429,0.1848187681758989,48.03557751303264,6,8.00592958550544,0.3788382234837909,168
0,2,21,162,168,7,7,provisional,133.407913,1.9128851191538274,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.84637211915384,0.18393674172222124,31.318196483426394,6,5.219699413904399,0.3823587832559998,168
0,2,22,162,168,7,7,provisional,135.066956,4.819019258519262,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.51038774148074,0.1767128169649666,38.75868457354271,6,6.459780762257118,0.3873861836516483,168
0,2,23,162,168,7,7,provisional,133.578552,3.3376856030889144,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.2851496030889,0.18607986382739225,32.456800444582306,6,5.409466740763718,0.37963619914442615,168
0,2,24,162,168,7,7,provisional,136.530533,2.7042770389697637,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.73444403896977,0.18765430407004605,24.460125490640387,6,4.076687581773398,0.3828027975792767,168
0,2,25,162,168,7,7,provisional,132.102112,2.643911703938045,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.40499229606195,0.18426531485973538,21.343724910644255,6,3.5572874851073757,0.3673354810131746,168
0,2,26,162,168,7,7,provisional,137.436234,1.1510325236792767,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.0376445236793,0.18722924486605672,22.476915974229243,6,3.7461526623715407,0.3711542322198248,168
0,2,27,162,168,7,7,provisional,134.243225,2.405838801143801,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.7656108011438,0.18470458764600692,30.419940280582516,6,5.069990046763753,0.36868139512817055,168
0,2,28,162,168,7,7,provisional,136.85202,2.876865599480226,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.33006659948023,0.2030977723140432,19.694699587544683,6,3.2824499312574473,0.3616183541011186,168
0,2,29,162,168,7,7,provisional,131.089249,2.482630072050256,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.69605507205026,0.1985276258576994,32.96384690740585,6,5.493974484567642,0.3558396869253666,168
